,Train_loss,Train_pearson,Train_r2,Valid_loss,Valid_pearson,Valid_r2,Best_epoch
42,0.04567572968068737,"(0.9019276400963836, 0.0)",0.8117759170804775,0.05316824929117732,"(0.8639255547215725, 0.0)",0.7440986126631974,28
43,0.04559622688640257,"(0.9096743717171867, 0.0)",0.8267054163636068,0.05183046778118278,"(0.8704767829336779, 0.0)",0.7568142221284717,28
44,0.04572590242578721,"(0.9086833558604461, 0.0)",0.821023192374488,0.05279084507174669,"(0.868887451707, 0.0)",0.74771865059195,28
45,0.04596465687803526,"(0.912054790487089, 0.0)",0.8301502187998457,0.05178158897485417,"(0.8703469600565734, 0.0)",0.7572726760536248,28
46,0.045778201869323784,"(0.9067390866539332, 0.0)",0.8206195946986831,0.05265718777946624,"(0.8691919802784334, 0.0)",0.7489945005272627,28
47,0.04586364881842897,"(0.90282562073961, 0.0)",0.8108530494026007,0.05303512310623427,"(0.8648500810342774, 0.0)",0.745378495772633,28
48,0.045723254153124664,"(0.9073663418673453, 0.0)",0.8231275643724011,0.05285077720584573,"(0.8658015814612807, 0.0)",0.7471455074668016,28
49,0.046152948402365786,"(0.90871949493974, 0.0)",0.8224032251373471,0.05292213254666418,"(0.8656255284331877, 0.0)",0.7464622727988843,28
50,0.04555026110928004,"(0.9056888230912556, 0.0)",0.8190911161773973,0.052761117487547464,"(0.8653864595952675, 0.0)",0.7480026990880543,28
51,0.04593661975330051,"(0.9071955429199542, 0.0)",0.8201981423597438,0.05266031083207958,"(0.8671152192151297, 0.0)",0.7489647233394656,28
52,0.04676183293651167,"(0.9063503584331949, 0.0)",0.8198336078208867,0.05292488399247367,"(0.8643507600392056, 0.0)",0.7464359065122745,28
53,0.04657960294480712,"(0.9056412531402181, 0.0)",0.8177571476833583,0.052118338219476174,"(0.8697791985257955, 0.0)",0.7541053712359554,28
54,0.04594011338978899,"(0.9080389158428822, 0.0)",0.8234868751549274,0.05249038612671346,"(0.8682239848742398, 0.0)",0.7505821932448585,28
55,0.04627705836267891,"(0.9079098829509891, 0.0)",0.8233502110805093,0.05178127437013954,"(0.871289766545575, 0.0)",0.7572756312579337,28
56,0.04677039343193717,"(0.897542214126385, 0.0)",0.7939695943683764,0.05445484288309411,"(0.8591750163261582, 0.0)",0.731563891191676,28
57,0.046876452398934246,"(0.9088753955296225, 0.0)",0.8227793017086755,0.05264451638355395,"(0.8657979539828133, 0.0)",0.7491152844155939,28
58,0.04611149877152191,"(0.9073671652469462, 0.0)",0.8190783057993148,0.05291523659442565,"(0.8644960324471356, 0.0)",0.7465283433603369,28
59,0.04643028015039347,"(0.9091405144101808, 0.0)",0.8235348717725144,0.05278257699131014,"(0.8648397795151901, 0.0)",0.7477976664639332,28
60,0.04639269569728467,"(0.9015077533096386, 0.0)",0.8121616321173121,0.053531866599389175,"(0.8638947739178073, 0.0)",0.7405864306205272,28
61,0.046564904535593366,"(0.9079485286541136, 0.0)",0.8227975675348599,0.052218323345919505,"(0.8683114665543997, 0.0)",0.7531610060591385,28
62,0.046305031406570475,"(0.9073652533405192, 0.0)",0.8220599567872476,0.052217589583656174,"(0.8681287489107605, 0.0)",0.7531679436284546,28
63,0.04604967873194927,"(0.9040657876353504, 0.0)",0.8172200672899298,0.052523540707586684,"(0.8682608499656893, 0.0)",0.7502670166034886,28
64,0.0465353887864338,"(0.9012808296583067, 0.0)",0.806474072510891,0.05390559429729787,"(0.8598755882863507, 0.0)",0.7369516394984988,28
65,0.046564341238130795,"(0.9042418340887037, 0.0)",0.8166201387642232,0.05277516426486008,"(0.8656529692068018, 0.0)",0.7478684985888367,28
66,0.04609960927221487,"(0.910703201306155, 0.0)",0.8279392015126177,0.05225932873265219,"(0.8678638462834583, 0.0)",0.7527731850149606,28
67,0.04617646305740749,"(0.9060702542604, 0.0)",0.8179185805152316,0.05308817708075998,"(0.8636942807760473, 0.0)",0.7448688143067435,28
68,0.04599562074322619,"(0.8982746283440535, 0.0)",0.8059783781020962,0.05500877895512307,"(0.8528882374802254, 0.0)",0.7260748360735173,28
69,0.04605949056459927,"(0.9043432481539899, 0.0)",0.8173246326815938,0.052800198862642235,"(0.8659129437725424, 0.0)",0.7476292412184196,28
70,0.046435662946499666,"(0.9090947034294823, 0.0)",0.8221738127290704,0.052295934539961654,"(0.8679976460094511, 0.0)",0.7524267183476365,28
71,0.04623705564249291,"(0.9072926074923091, 0.0)",0.8211569416017714,0.052482246503121444,"(0.8665156640841128, 0.0)",0.7506595424039172,28
72,0.046109656538430514,"(0.9113130188060341, 0.0)",0.8219428148430481,0.0535015936595566,"(0.8613661480872861, 0.0)",0.7408797489202906,28
73,0.04626181589822831,"(0.9016510172419882, 0.0)",0.8126404081204388,0.0531385464266255,"(0.8640961662919566, 0.0)",0.7443844582463905,28
74,0.0467277033453947,"(0.8999119204346987, 0.0)",0.7992566158050229,0.056952494952421516,"(0.8536188506903908, 0.0)",0.7063747310623695,28
75,0.04631307146231969,"(0.905769742274463, 0.0)",0.8185152330960141,0.05345210426881951,"(0.8620994848323759, 0.0)",0.7413589022572318,28
76,0.04695460986959856,"(0.9077901121544489, 0.0)",0.8140406815485077,0.05291239988475426,"(0.8664221073260585, 0.0)",0.7465555180859662,28
77,0.046280589879061716,"(0.9096414637918434, 0.0)",0.8226227218771404,0.0532206391042244,"(0.8624085182346117, 0.0)",0.74359405721157,28
78,0.0467631022441281,"(0.9040483938190176, 0.0)",0.8044088647952287,0.0547074578555396,"(0.85553123178192, 0.0)",0.7290675729702507,28
